Wenner£¨¦Á£©
0.2
1
247
1
0
3.9	2.6	132.22192
3.6	2.4	140.76904
3.3	2.2	144.5473333
3	2	150.1224267
2.7	1.8	160.8674
2.4	1.6	139.13804
2.1	1.4	139.65646
1.8	1.2	139.38252
1.5	1	136.96318
1.2	0.8	136.3476
0.9	0.6	132.67214
0.6	0.4	120.28768
0.3	0.2	108.686
3.8	2.4	145.6204533
3.5	2.2	135.9936933
3.2	2	145.4932533
2.9	1.8	135.7688533
2.6	1.6	133.37682
2.3	1.4	138.52066
2	1.2	136.11766
1.7	1	139.15116
1.4	0.8	125.05878
1.1	0.6	134.60492
0.8	0.4	127.62378
0.5	0.2	103.95382
4	2.4	138.5535333
3.7	2.2	138.5418933
3.4	2	137.0888933
3.1	1.8	142.5833867
2.8	1.6	138.35282
2.5	1.4	135.88176
2.2	1.2	145.39504
1.9	1	141.8061
1.6	0.8	138.11946
1.3	0.6	131.53756
1	0.4	129.49334
0.7	0.2	116.2215
4.2	2.4	144.8350533
3.9	2.2	139.2634
3.6	2	138.3322667
3.3	1.8	143.9286667
3	1.6	127.79304
2.7	1.4	127.65456
2.4	1.2	136.46006
2.1	1	143.62632
1.8	0.8	137.50264
1.5	0.6	127.4271
1.2	0.4	122.98694
0.9	0.2	113.5027
4.1	2.2	147.4324533
3.8	2	131.9031867
3.5	1.8	144.4523067
3.2	1.6	127.66384
2.9	1.4	122.71398
2.6	1.2	125.15504
2.3	1	138.1837
2	0.8	140.65592
1.7	0.6	137.4416
1.4	0.4	129.69514
1.1	0.2	110.67886
4.3	2.2	137.5283733
4	2	147.7210133
3.7	1.8	134.8233467
3.4	1.6	126.33518
3.1	1.4	119.28254
2.8	1.2	127.83548
2.5	1	130.13906
2.2	0.8	129.86018
1.9	0.6	138.30118
1.6	0.4	123.59266
1.3	0.2	116.07824
4.5	2.2	136.40676
4.2	2	134.49676
3.9	1.8	140.4449867
3.6	1.6	131.65726
3.3	1.4	123.66394
3	1.2	117.96048
2.7	1	123.43316
2.4	0.8	125.89126
2.1	0.6	136.54096
1.8	0.4	127.38782
1.5	0.2	114.95154
4.4	2	136.5641067
4.1	1.8	131.8947067
3.8	1.6	128.15124
3.5	1.4	121.19972
3.2	1.2	114.77354
2.9	1	114.10428
2.6	0.8	119.33858
2.3	0.6	119.91516
2	0.4	128.76214
1.7	0.2	113.91464
4.6	2	149.12216
4.3	1.8	136.4892667
4	1.6	132.54782
3.7	1.4	121.63436
3.4	1.2	117.6226
3.1	1	111.3939
2.8	0.8	105.07734
2.5	0.6	118.46644
2.2	0.4	116.80752
1.9	0.2	112.48382
4.8	2	150.8893733
4.5	1.8	142.43628
4.2	1.6	131.8365
3.9	1.4	127.45528
3.6	1.2	119.1151
3.3	1	112.21052
3	0.8	112.34798
2.7	0.6	103.60086
2.4	0.4	107.09562
2.1	0.2	117.8744
4.7	1.8	134.0266
4.4	1.6	128.26704
4.1	1.4	127.04794
3.8	1.2	117.77834
3.5	1	106.01346
3.2	0.8	106.85896
2.9	0.6	103.3163
2.6	0.4	106.00118
2.3	0.2	105.91904
4.9	1.8	148.1770267
4.6	1.6	136.36386
4.3	1.4	130.76374
4	1.2	122.05036
3.7	1	107.59444
3.4	0.8	102.71788
3.1	0.6	98.03192
2.8	0.4	97.40332
2.5	0.2	112.73016
5.1	1.8	157.3490667
4.8	1.6	129.31924
4.5	1.4	128.2127
4.2	1.2	124.62078
3.9	1	110.34686
3.6	0.8	105.14946
3.3	0.6	97.43524
3	0.4	100.46566
2.7	0.2	102.57442
5	1.6	144.3495
4.7	1.4	134.13462
4.4	1.2	119.32994
4.1	1	112.94076
3.8	0.8	95.71144
3.5	0.6	93.6506
3.2	0.4	98.23052
2.9	0.2	104.24264
5.2	1.6	145.9592
4.9	1.4	132.0556
4.6	1.2	130.55666
4.3	1	113.9322
4	0.8	102.2046
3.7	0.6	94.71086
3.4	0.4	98.2291
3.1	0.2	99.57296
5.4	1.6	155.99834
5.1	1.4	143.17086
4.8	1.2	121.28092
4.5	1	119.16692
4.2	0.8	106.38196
3.9	0.6	96.47304
3.6	0.4	93.36026
3.3	0.2	113.77944
5.3	1.4	137.79386
5	1.2	129.72572
4.7	1	110.51888
4.4	0.8	106.90344
4.1	0.6	98.6198
3.8	0.4	96.91994
3.5	0.2	96.46662
5.5	1.4	147.4193
5.2	1.2	134.61478
4.9	1	116.26948
4.6	0.8	105.12384
4.3	0.6	98.09238
4	0.4	97.16288
3.7	0.2	102.3104
5.7	1.4	151.54432
5.4	1.2	137.85502
5.1	1	120.94214
4.8	0.8	107.05192
4.5	0.6	100.42706
4.2	0.4	94.13568
3.9	0.2	103.09014
5.6	1.2	141.82562
5.3	1	130.14446
5	0.8	110.14372
4.7	0.6	98.11112
4.4	0.4	98.25412
4.1	0.2	97.86954
5.8	1.2	144.5984
5.5	1	134.62426
5.2	0.8	118.05962
4.9	0.6	93.37896
4.6	0.4	98.68762
4.3	0.2	101.54442
6	1.2	161.33552
5.7	1	145.27868
5.4	0.8	123.48626
5.1	0.6	101.46664
4.8	0.4	91.04964
4.5	0.2	101.3196
5.9	1	147.56914
5.6	0.8	128.4482
5.3	0.6	108.4319
5	0.4	97.09852
4.7	0.2	104.10932
6.1	1	153.12286
5.8	0.8	141.4731
5.5	0.6	124.26676
5.2	0.4	100.3321
4.9	0.2	101.8962
6.3	1	152.29048
6	0.8	134.88212
5.7	0.6	128.71126
5.4	0.4	105.06424
5.1	0.2	100.8256
6.2	0.8	149.60314
5.9	0.6	128.81014
5.6	0.4	113.00458
